User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM20,Hearing,SVM,0.98765,1,0.875,0.93333
DM20,Hearing,NN,0.97531,0.875,0.875,0.875
DM22,About,DT,0.75,0.076923,0.11111,0.090909
DM22,About,SVM,0.9625,1,0.66667,0.8
DM22,About,NN,0.9375,0.75,0.66667,0.70588
DM22,And,DT,0.8875,0.42857,0.375,0.4
DM22,And,SVM,0.925,1,0.25,0.4
DM22,And,NN,0.9375,1,0.375,0.54545
DM22,Can,DT,0.925,0.66667,0.5,0.57143
DM22,Can,SVM,0.975,0.875,0.875,0.875
DM22,Can,NN,0.9625,0.85714,0.75,0.8
DM22,Cop,DT,0.9875,0.88889,1,0.94118
DM22,Cop,SVM,0.9875,1,0.875,0.93333
DM22,Cop,NN,0.975,0.875,0.875,0.875
DM22,Deaf,DT,0.975,1,0.75,0.85714
DM22,Deaf,SVM,0.9875,1,0.875,0.93333
DM22,Deaf,NN,0.975,1,0.75,0.85714
DM22,Decide,DT,0.9375,1,0.28571,0.44444
DM22,Decide,SVM,0.9375,0.66667,0.57143,0.61538
DM22,Decide,NN,0.9375,0.75,0.42857,0.54545
DM22,Father,DT,1,1,1,1
DM22,Father,SVM,1,1,1,1
DM22,Father,NN,1,1,1,1
DM22,Find,DT,1,1,1,1
DM22,Find,SVM,1,1,1,1
DM22,Find,NN,0.9875,1,0.875,0.93333
DM22,GoOut,DT,0.9,0.5,0.5,0.5
DM22,GoOut,SVM,0.95,0.83333,0.625,0.71429
DM22,GoOut,NN,0.9625,0.77778,0.875,0.82353
DM22,Hearing,DT,0.975,1,0.75,0.85714
DM22,Hearing,SVM,0.9625,1,0.625,0.76923
DM22,Hearing,NN,0.95,0.75,0.75,0.75
DM24,About,DT,0.98765,1,0.875,0.93333
DM24,About,SVM,1,1,1,1
DM24,About,NN,0.98765,1,0.875,0.93333
DM24,And,DT,0.93827,1,0.44444,0.61538
DM24,And,SVM,0.96296,1,0.66667,0.8
DM24,And,NN,0.93827,0.7,0.77778,0.73684
DM24,Can,DT,0.97531,1,0.75,0.85714
DM24,Can,SVM,0.96296,1,0.625,0.76923
DM24,Can,NN,0.95062,0.75,0.75,0.75
DM24,Cop,DT,0.96296,0.85714,0.75,0.8
DM24,Cop,SVM,0.97531,1,0.75,0.85714
DM24,Cop,NN,1,1,1,1
DM24,Deaf,DT,0.92593,0.6,0.75,0.66667
DM24,Deaf,SVM,0.98765,0.88889,1,0.94118
DM24,Deaf,NN,0.95062,0.66667,1,0.8
DM24,Decide,DT,1,1,1,1
DM24,Decide,SVM,1,1,1,1
DM24,Decide,NN,1,1,1,1
DM24,Father,DT,0.90123,0.5,0.875,0.63636
DM24,Father,SVM,1,1,1,1
DM24,Father,NN,0.98765,0.88889,1,0.94118
DM24,Find,DT,0.96296,0.77778,0.875,0.82353
DM24,Find,SVM,1,1,1,1
DM24,Find,NN,0.97531,0.8,1,0.88889
DM24,GoOut,DT,0.97531,1,0.75,0.85714
DM24,GoOut,SVM,1,1,1,1
DM24,GoOut,NN,0.98765,0.88889,1,0.94118
DM24,Hearing,DT,0.96296,0.77778,0.875,0.82353
DM24,Hearing,SVM,1,1,1,1
DM24,Hearing,NN,0.96296,0.77778,0.875,0.82353
DM26,About,DT,0.98305,1,0.83333,0.90909
DM26,About,SVM,1,1,1,1
DM26,About,NN,1,1,1,1
DM26,And,DT,0.98305,0.85714,1,0.92308
DM26,And,SVM,1,1,1,1
DM26,And,NN,0.9322,0.6,1,0.75
DM26,Can,DT,0.89831,0.5,0.16667,0.25
DM26,Can,SVM,0.98305,1,0.83333,0.90909
DM26,Can,NN,0.94915,1,0.5,0.66667
DM26,Cop,DT,1,1,1,1
DM26,Cop,SVM,1,1,1,1
DM26,Cop,NN,1,1,1,1
DM26,Deaf,DT,1,1,1,1
DM26,Deaf,SVM,0.91525,1,0.16667,0.28571
DM26,Deaf,NN,0.94915,0.8,0.66667,0.72727
DM26,Decide,DT,0.98305,0.85714,1,0.92308
DM26,Decide,SVM,0.9661,1,0.66667,0.8
DM26,Decide,NN,0.9322,1,0.33333,0.5
DM26,Father,DT,0.86441,0.25,0.16667,0.2
DM26,Father,SVM,0.91525,0.66667,0.33333,0.44444
DM26,Father,NN,0.89831,0.5,0.5,0.5
DM26,Find,DT,0.98305,0.83333,1,0.90909
DM26,Find,SVM,0.94915,1,0.4,0.57143
DM26,Find,NN,0.9322,1,0.2,0.33333
DM26,GoOut,DT,0.98305,1,0.83333,0.90909
DM26,GoOut,SVM,1,1,1,1
DM26,GoOut,NN,0.98305,0.85714,1,0.92308
DM26,Hearing,DT,0.83051,0.33333,0.66667,0.44444
DM26,Hearing,SVM,0.89831,0.5,0.33333,0.4
DM26,Hearing,NN,0.84746,0.2,0.16667,0.18182
DM27,About,DT,0.93827,0.63636,0.875,0.73684
DM27,About,SVM,0.96296,1,0.625,0.76923
DM27,About,NN,0.97531,0.8,1,0.88889
DM27,And,DT,0.98765,1,0.88889,0.94118
DM27,And,SVM,0.97531,1,0.77778,0.875
DM27,And,NN,0.97531,1,0.77778,0.875
DM27,Can,DT,0.92593,0.75,0.375,0.5
DM27,Can,SVM,0.96296,0.85714,0.75,0.8
DM27,Can,NN,0.98765,0.88889,1,0.94118
DM27,Cop,DT,0.98765,1,0.875,0.93333
DM27,Cop,SVM,0.96296,0.85714,0.75,0.8
DM27,Cop,NN,0.97531,0.8,1,0.88889
DM27,Deaf,DT,0.97531,0.8,1,0.88889
DM27,Deaf,SVM,0.98765,0.88889,1,0.94118
DM27,Deaf,NN,0.97531,0.8,1,0.88889
DM27,Decide,DT,1,1,1,1
DM27,Decide,SVM,1,1,1,1
DM27,Decide,NN,0.98765,0.88889,1,0.94118
DM27,Father,DT,0.93827,0.66667,0.75,0.70588
DM27,Father,SVM,0.97531,1,0.75,0.85714
DM27,Father,NN,1,1,1,1
DM27,Find,DT,1,1,1,1
DM27,Find,SVM,1,1,1,1
DM27,Find,NN,1,1,1,1
DM27,GoOut,DT,0.90123,0.5,0.375,0.42857
DM27,GoOut,SVM,0.98765,1,0.875,0.93333
DM27,GoOut,NN,0.98765,1,0.875,0.93333
DM27,Hearing,DT,0.90123,0.5,0.25,0.33333
DM27,Hearing,SVM,0.98765,1,0.875,0.93333
DM27,Hearing,NN,0.96296,0.77778,0.875,0.82353
DM28,About,DT,0.9625,0.72727,1,0.84211
DM28,About,SVM,0.9625,0.72727,1,0.84211
